timestamp,iso,validator1,validator2,validator3,validator4
1785790910,2026-08-03T21:01:50+00:00,3206,3208,3206,3206
1785790940,2026-08-03T21:02:20+00:00,3221,3223,3221,3221
1785790970,2026-08-03T21:02:50+00:00,3236,3238,3236,3236
1785791000,2026-08-03T21:03:20+00:00,3251,3253,3251,3251
1785791030,2026-08-03T21:03:50+00:00,3266,3268,3266,3266
1785791060,2026-08-03T21:04:20+00:00,3281,3283,3281,3281
1785791090,2026-08-03T21:04:50+00:00,3296,3298,3296,3296
1785791120,2026-08-03T21:05:20+00:00,3311,3313,3311,3311
1785791150,2026-08-03T21:05:50+00:00,3326,3328,3326,3326
1785791180,2026-08-03T21:06:20+00:00,3341,3343,3341,3341
1785791210,2026-08-03T21:06:50+00:00,3356,3358,3356,3356
1785791240,2026-08-03T21:07:20+00:00,3371,3373,3371,3371
1785791270,2026-08-03T21:07:50+00:00,3386,3388,3386,3386
1785791300,2026-08-03T21:08:20+00:00,3401,3403,3401,3401
1785791330,2026-08-03T21:08:50+00:00,3416,3418,3416,3416
1785791360,2026-08-03T21:09:20+00:00,3431,3433,3431,3431
1785791390,2026-08-03T21:09:50+00:00,3446,3448,3446,3446
1785791420,2026-08-03T21:10:20+00:00,3461,3463,3461,3461
1785791450,2026-08-03T21:10:50+00:00,3476,3478,3476,3476
1785791480,2026-08-03T21:11:20+00:00,3491,3493,3491,3491
1785791510,2026-08-03T21:11:50+00:00,3506,3508,3506,3506
1785791540,2026-08-03T21:12:20+00:00,3521,3523,3521,3521
1785791570,2026-08-03T21:12:50+00:00,3536,3538,3536,3536
1785791600,2026-08-03T21:13:20+00:00,3551,3553,3551,3551
1785791630,2026-08-03T21:13:50+00:00,3566,3568,3566,3566
1785791660,2026-08-03T21:14:20+00:00,3581,3583,3581,3581
1785791690,2026-08-03T21:14:50+00:00,3596,3598,3596,3596
1785791720,2026-08-03T21:15:20+00:00,3611,3613,3611,3611
1785791750,2026-08-03T21:15:50+00:00,3626,3628,3626,3626
1785791780,2026-08-03T21:16:20+00:00,3641,3643,3641,3641
1785791810,2026-08-03T21:16:50+00:00,3656,3658,3656,3656
1785791840,2026-08-03T21:17:20+00:00,3671,3673,3671,3671
1785791870,2026-08-03T21:17:50+00:00,3686,3688,3686,3686
1785791900,2026-08-03T21:18:20+00:00,3701,3703,3701,3701
1785791930,2026-08-03T21:18:50+00:00,3716,3718,3716,3716
1785791960,2026-08-03T21:19:20+00:00,3731,3733,3731,3731
1785791990,2026-08-03T21:19:50+00:00,3746,3748,3746,3746
1785792020,2026-08-03T21:20:20+00:00,3761,3763,3761,3761
1785792050,2026-08-03T21:20:50+00:00,3776,3778,3776,3776
1785792080,2026-08-03T21:21:20+00:00,3791,3793,3791,3791
1785792110,2026-08-03T21:21:50+00:00,3806,3808,3806,3806
