timestamp,iso,validator1,validator2,validator3,validator4
1785792890,2026-08-03T21:34:50+00:00,572252160,722288640,484818944,488112128
1785792920,2026-08-03T21:35:20+00:00,572506112,721506304,505257984,488493056
1785792950,2026-08-03T21:35:50+00:00,572477440,721498112,506134528,482390016
1785792980,2026-08-03T21:36:20+00:00,570896384,721408000,494931968,486146048
1785793010,2026-08-03T21:36:50+00:00,570900480,717000704,508645376,485998592
1785793040,2026-08-03T21:37:20+00:00,570601472,716550144,491220992,486072320
1785793070,2026-08-03T21:37:50+00:00,570359808,714399744,500658176,485855232
1785793100,2026-08-03T21:38:20+00:00,569651200,714649600,506286080,486457344
1785793130,2026-08-03T21:38:50+00:00,563347456,714780672,489861120,487374848
1785793160,2026-08-03T21:39:20+00:00,574824448,734703616,521662464,502923264
1785793190,2026-08-03T21:39:50+00:00,532516864,734965760,522055680,503316480
1785793220,2026-08-03T21:40:20+00:00,546017280,717381632,502398976,503791616
1785793250,2026-08-03T21:40:50+00:00,536322048,717049856,515526656,503902208
1785793280,2026-08-03T21:41:20+00:00,525266944,716218368,498352128,503373824
1785793310,2026-08-03T21:41:50+00:00,536539136,716611584,501760000,503767040
1785793340,2026-08-03T21:42:20+00:00,525733888,717021184,504500224,504459264
1785793370,2026-08-03T21:42:50+00:00,529473536,716881920,488226816,504709120
1785793400,2026-08-03T21:43:20+00:00,523055104,716435456,504213504,504823808
1785793430,2026-08-03T21:43:50+00:00,528314368,716083200,504217600,505348096
1785793460,2026-08-03T21:44:20+00:00,527355904,718299136,495689728,492224512
1785793490,2026-08-03T21:44:50+00:00,534560768,718065664,509652992,492056576
1785793520,2026-08-03T21:45:20+00:00,520843264,717959168,509050880,488509440
1785793550,2026-08-03T21:45:50+00:00,534999040,718221312,494514176,489295872
1785793580,2026-08-03T21:46:20+00:00,518836224,718221312,515747840,489295872
1785793610,2026-08-03T21:46:50+00:00,534302720,717926400,516272128,489426944
1785793640,2026-08-03T21:47:20+00:00,537157632,719765504,494759936,490692608
